Symbol,Type,Volume,Open Price,Close Price,Open Time,Close Time,Profit
EURUSD,BUY,0.03,1.13670,1.13688,2026-07-28 02:12,2026-07-28 02:47,0.54
EURUSD,BUY,0.01,1.13651,1.13649,2026-07-28 01:35,2026-07-28 01:37,-0.02
BTCUSDT,BUY,0.06,64313.33,64325.52,2026-07-25 18:32,2026-07-25 18:41,0.73
BTCUSDT,BUY,0.06,64375.88,64332.77,2026-07-25 15:22,2026-07-25 15:36,-2.59
BTCUSDT,BUY,0.12,64318.42,64360.10,2026-07-25 14:19,2026-07-25 14:29,5
