Profit,$2.67,$1.33,$14.53,$2.63,$2.45,$386.40,$70.70,$234.80,-$43.00,$104.80,-$28.05,-$35.75,-$0.18,$12.00,-$8.85,$11.86,$11.20,$74.80,$31.50,$18.50,$0.25,$42.40,$5.00,$65.70,-$66.70,$179.40
-,gold,gold,us100cash,us100cash,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,us100cash,us500cash,gold,gold,gold
Symbol,GOLD,GOLD,US100Cash,US100Cash,GOLD,GOLD,GOLD,GOLD,GOLD,GOLD,GOLD,GOLD,GOLD,GOLD,GOLD,GOLD,GOLD,GOLD,GOLD,GOLD,GOLD,US100Cash,US500Cash,GOLD,GOLD,GOLD
Type,BUY,BUY,BUY,BUY,BUY,BUY,BUY,SELL,SELL,BUY,SELL,BUY,BUY,BUY,SELL,BUY,SELL,SELL,SELL,SELL,BUY,SELL,BUY,BUY,SELL,BUY
Asset Type,Precious Metals,Precious Metals,Indices,Indices,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Indices,Indices,Precious Metals,Precious Metals,Precious Metals
Volume,0.1,0.3,0.7,0.1,0.2,0.2,0.1,0.1,0.1,0.07,0.08,0.04,0.01,0.03,0.02,0.02,0.1,0.1,0.01,0.1,0.06,1,0.4,0.1,0.13,0.2
Open price,"4,129.16","4,082.90","28,943.66","28,894.04","4,018.58","4,050.57","4,154.60","4,080.67","4,025.55","4,068.01","4,045.99","4,128.45","4,018.55","4,077.51","4,112.24","4,067.62","4,049.83","4,076.47","4,008.74","4,012.33","4,057.23","28,741.55","7,484.55","4,073.17","4,006.50","4,022.37"
close price,"4,122.08","4,128.22","28,964.04","28,920.54","4,022.82","4,051.60","4,154.82","4,085.21","4,022.26","4,057.62","4,051.76","4,138.75","4,018.17","4,073.96","4,054.62","4,064.65","4,048.45","4,070.58","4,006.43","4,011.84","4,053.82","28,718.80","7,486.30","4,082.68","4,000.78","4,039.42"
open time,22/07 23:31,21/07 23:48,21/07 07:32,21/07 06:46,20/07 08:57,24/07 14:35,22/07 16:06,21/07 19:47,20/07 12:51,24/07 14:59,23/07 14:58,22/07 03:41,21/07 01:38,24/07 16:15,23/07 08:08,21/07 15:18,23/07 21:30,21/07 16:23,20/07 19:15,20/07 16:15,24/07 09:58,23/07 12:38,23/07 00:12,21/07 17:50,20/07 23:14,20/07 12:28
close time,22/07 23:40,22/07 06:03,21/07 07:43,21/07 07:00,20/07 09:01,24/07 14:44,22/07 16:07,21/07 20:02,20/07 13:00,24/07 15:07,23/07 17:59,22/07 04:07,21/07 02:00,24/07 16:43,23/07 14:27,21/07 15:24,23/07 21:52,21/07 17:47,20/07 20:09,20/07 17:25,24/07 10:12,23/07 13:19,23/07 00:43,21/07 20:18,20/07 23:55,20/07 12:34
